baseline,NS,index,Unnamed: 0,alpha_0,alpha_1,beta_0,beta_1,alpha_0_hat,beta_0_hat,AU-ROC,ACC,do,alpha_error,beta_error
COM,5000,58.0,58.0,0.1,0.0,0.3,0.0,0.3317973434925079,0.5517905622720718,0.6133652535684895,53.63111111111111,0.0,-0.23179734349250788,-0.25179056227207186
COM,10000,58.0,58.0,0.1,0.0,0.3,0.0,0.2885792195796967,0.4931207905213038,0.669299454757127,55.80222222222222,0.0,-0.18857921957969662,-0.19312079052130382
COM,20000,58.0,58.0,0.1,0.0,0.3,0.0,0.24329081773757932,0.4518389602502187,0.6995008274521434,57.14,0.0,-0.14329081773757932,-0.1518389602502187
COM,30000,58.0,58.0,0.1,0.0,0.3,0.0,0.20152699748675026,0.38674677113691963,0.7242436945130982,60.51777777777777,0.0,-0.10152699748675026,-0.08674677113691964
COM,40000,58.0,58.0,0.1,0.0,0.3,0.0,0.18950031002362566,0.4371747424205144,0.7711748850568655,65.5261111111111,0.0,-0.08950031002362564,-0.13717474242051442
COM,50000,58.0,58.0,0.1,0.0,0.3,0.0,0.16490000685056047,0.3674025634924571,0.7406408403087911,64.94933333333333,0.0,-0.06490000685056047,-0.06740256349245706
COM,60000,58.0,58.0,0.1,0.0,0.3,0.0,0.1821447352568308,0.4379463285207748,0.7307687773053565,64.26703703703704,0.0,-0.08214473525683082,-0.13794632852077482
COM,70000,58.0,58.0,0.1,0.0,0.3,0.0,0.12023272141814227,0.38124859233697256,0.7908051280277827,68.59396825396826,0.0,-0.020232721418142263,-0.08124859233697254
COM,80000,58.0,58.0,0.1,0.0,0.3,0.0,0.1455038209756215,0.3782908618450165,0.7701909025212845,68.15138888888889,0.0,-0.045503820975621494,-0.07829086184501648
COM-SL,5000,59.0,59.0,0.1,0.0,0.3,0.0,0.3317973434925079,0.5517905622720718,0.6129122388264141,53.568888888888885,0.0,-0.23179734349250788,-0.25179056227207186
COM-SL,10000,59.0,59.0,0.1,0.0,0.3,0.0,0.2885792195796967,0.4931207905213038,0.6334501670776166,57.89555555555555,0.0,-0.18857921957969662,-0.19312079052130382
COM-SL,20000,59.0,59.0,0.1,0.0,0.3,0.0,0.24329081773757932,0.4518389602502187,0.6697994293347753,61.43222222222222,0.0,-0.14329081773757932,-0.1518389602502187
COM-SL,30000,59.0,59.0,0.1,0.0,0.3,0.0,0.20152699748675026,0.38674677113691963,0.7629277802970749,70.13925925925926,0.0,-0.10152699748675026,-0.08674677113691964
COM-SL,40000,59.0,59.0,0.1,0.0,0.3,0.0,0.18950031002362566,0.4371747424205144,0.7578918691656416,67.795,0.0,-0.08950031002362564,-0.13717474242051442
COM-SL,50000,59.0,59.0,0.1,0.0,0.3,0.0,0.16490000685056047,0.3674025634924571,0.7985948270337914,71.43822222222222,0.0,-0.06490000685056047,-0.06740256349245706
COM-SL,60000,59.0,59.0,0.1,0.0,0.3,0.0,0.1821447352568308,0.4379463285207748,0.7724909867919029,67.94851851851853,0.0,-0.08214473525683082,-0.13794632852077482
COM-SL,70000,59.0,59.0,0.1,0.0,0.3,0.0,0.12023272141814227,0.38124859233697256,0.7701395581544334,69.74031746031747,0.0,-0.020232721418142263,-0.08124859233697254
COM-SL,80000,59.0,59.0,0.1,0.0,0.3,0.0,0.1455038209756215,0.3782908618450165,0.7811393276951313,72.14972222222222,0.0,-0.045503820975621494,-0.07829086184501648
OBS,5000,56.0,56.0,0.1,0.0,0.3,0.0,0.3317973434925079,0.5517905622720718,0.4964407637495183,49.34222222222222,0.0,-0.23179734349250788,-0.25179056227207186
OBS,10000,56.0,56.0,0.1,0.0,0.3,0.0,0.2885792195796967,0.4931207905213038,0.5446543012661691,48.98444444444444,0.0,-0.18857921957969662,-0.19312079052130382
OBS,20000,56.0,56.0,0.1,0.0,0.3,0.0,0.24329081773757932,0.4518389602502187,0.560744007644217,49.49777777777778,0.0,-0.14329081773757932,-0.1518389602502187
OBS,30000,56.0,56.0,0.1,0.0,0.3,0.0,0.20152699748675026,0.38674677113691963,0.5766086875091679,50.19925925925926,0.0,-0.10152699748675026,-0.08674677113691964
OBS,40000,56.0,56.0,0.1,0.0,0.3,0.0,0.18950031002362566,0.4371747424205144,0.573400744975061,49.632222222222225,0.0,-0.08950031002362564,-0.13717474242051442
OBS,50000,56.0,56.0,0.1,0.0,0.3,0.0,0.16490000685056047,0.3674025634924571,0.5710678829597291,51.54622222222222,0.0,-0.06490000685056047,-0.06740256349245706
OBS,60000,56.0,56.0,0.1,0.0,0.3,0.0,0.1821447352568308,0.4379463285207748,0.5565341524616284,50.30814814814814,0.0,-0.08214473525683082,-0.13794632852077482
OBS,70000,56.0,56.0,0.1,0.0,0.3,0.0,0.12023272141814227,0.38124859233697256,0.5823929564218162,50.71619047619048,0.0,-0.020232721418142263,-0.08124859233697254
