,alpha_0,alpha_1,beta_0,beta_1,alpha_0_hat,beta_0_hat,alpha_1_hat,beta_1_hat,benchmark,NS,AU-ROC,ACC,do,baseline
0,0.0,0,0.4,0,1.687284866370238e-15,0.9931060594972223,0.21745967864990234,0.7774185878224671,ohie,12994,0.3737050248138958,0.9602462169787125,0,OBS
1,0.0,0,0.4,0,1.687284866370238e-15,0.9931060594972223,0.21745967864990234,0.7774185878224671,ohie,12994,0.38117811090320997,0.9622980251346499,1,OBS
2,0.0,0,0.4,0,1.687284866370238e-15,0.9931060594972223,0.21745967864990234,0.7774185878224671,ohie,12994,0.7355967397298042,0.9535778404719158,0,OBS Oracle
3,0.0,0,0.4,0,1.687284866370238e-15,0.9931060594972223,0.21745967864990234,0.7774185878224671,ohie,12994,0.6731040497222343,0.956655552705822,1,OBS Oracle
4,0.0,0,0.4,0,1.687284866370238e-15,0.9931060594972223,0.21745967864990234,0.7774185878224671,ohie,12994,0.3816351323407775,0.9602462169787125,0,COM
5,0.0,0,0.4,0,1.687284866370238e-15,0.9931060594972223,0.21745967864990234,0.7774185878224671,ohie,12994,0.38703983725686436,0.9622980251346499,1,COM
6,0.0,0,0.4,0,1.687284866370238e-15,0.9931060594972223,0.21745967864990234,0.7774185878224671,ohie,12994,0.38679263165150257,0.9602462169787125,0,COM-SL
7,0.0,0,0.4,0,1.687284866370238e-15,0.9931060594972223,0.21745967864990234,0.7774185878224671,ohie,12994,0.3779000406132602,0.9622980251346499,1,COM-SL
8,0.0,0,0.4,0,1.687284866370238e-15,0.9931060594972223,0.21745967864990234,0.7774185878224671,ohie,12994,0.37265043424317623,0.9602462169787125,0,RW
9,0.0,0,0.4,0,1.687284866370238e-15,0.9931060594972223,0.21745967864990234,0.7774185878224671,ohie,12994,0.37463375542114496,0.9622980251346499,1,RW
10,0.0,0,0.4,0,1.687284866370238e-15,0.9931060594972223,0.21745967864990234,0.7774185878224671,ohie,12994,0.38551230355665833,0.9602462169787125,0,RW-SL
11,0.0,0,0.4,0,1.687284866370238e-15,0.9931060594972223,0.21745967864990234,0.7774185878224671,ohie,12994,0.3904303192492349,0.9622980251346499,1,RW-SL
12,0.0,0,0.4,0,1.687284866370238e-15,0.9931060594972223,0.21745967864990234,0.7774185878224671,ohie,12994,0.3796896539840088,0.9602462169787125,0,Proxy Oracle
13,0.0,0,0.4,0,1.687284866370238e-15,0.9931060594972223,0.21745967864990234,0.7774185878224671,ohie,12994,0.3786905487141552,0.9622980251346499,1,Proxy Oracle
14,0.0,0,0.4,0,1.687284866370238e-15,0.9931060594972223,0.21745967864990234,0.7774185878224671,ohie,12994,0.6968362282878412,0.9561426006668376,0,Target Oracle
15,0.0,0,0.4,0,1.687284866370238e-15,0.9931060594972223,0.21745967864990234,0.7774185878224671,ohie,12994,0.674851870385681,0.9556296486278533,1,Target Oracle
